# Spin 1
# Original Fermi-level:     -8.54323 eV
# DOS shifted relative to Fermi-level
#  Energy (eV)     DOS (/eV)    Local iDOS
      -8.87635       0.00000       0.00000
      -8.87445       0.00000       0.00000
      -8.87254       0.00000       0.00000
      -8.87064       0.00000       0.00000
      -8.86873       0.00000       0.00000
      -8.86683       0.00000       0.00000
      -8.86493       0.00000       0.00000
      -8.86302       0.00000       0.00000
      -8.86112       0.00000       0.00000
      -8.85921       0.00000       0.00000
      -8.85731       0.00000       0.00000
      -8.85540       0.00000       0.00000
      -8.85350       0.00000       0.00000
      -8.85159       0.00000       0.00000
      -8.84969       0.00000       0.00000
      -8.84778       0.00000       0.00000
      -8.84588       0.00000       0.00000
      -8.84397       0.00000       0.00000
      -8.84207       0.00000       0.00000
      -8.84016       0.00000       0.00000
      -8.83826       0.00000       0.00000
      -8.83635       0.00000       0.00000
      -8.83445       0.00000       0.00000
      -8.83254       0.00000       0.00000
      -8.83064       0.00000       0.00000
      -8.82873       0.00000       0.00000
      -8.82683       0.00000       0.00000
      -8.82492       0.00000       0.00000
      -8.82302       0.00000       0.00000
      -8.82112       0.00000       0.00000
      -8.81921       0.00000       0.00000
      -8.81731       0.00000       0.00000
      -8.81540       0.00000       0.00000
      -8.81350       0.00000       0.00000
      -8.81159       0.00000       0.00000
      -8.80969       0.00000       0.00000
      -8.80778       0.00000       0.00000
      -8.80588       0.00000       0.00000
      -8.80397       0.00000       0.00000
      -8.80207       0.00000       0.00000
      -8.80016       0.00000       0.00000
      -8.79826       0.00000       0.00000
      -8.79635       0.00000       0.00000
      -8.79445       0.00000       0.00000
      -8.79254       0.00000       0.00000
      -8.79064       0.00000       0.00000
      -8.78873       0.00000       0.00000
      -8.78683       0.00000       0.00000
      -8.78492       0.00000       0.00000
      -8.78302       0.00000       0.00000
      -8.78111       0.00000       0.00000
      -8.77921       0.00000       0.00000
      -8.77730       0.00000       0.00000
      -8.77540       0.00000       0.00000
      -8.77350       0.00000       0.00000
      -8.77159       0.00000       0.00000
      -8.76969       0.00000       0.00000
      -8.76778       0.00000       0.00000
      -8.76588       0.00000       0.00000
      -8.76397       0.00000       0.00000
      -8.76207       0.00000       0.00000
      -8.76016       0.00000       0.00000
      -8.75826       0.00000       0.00000
      -8.75635       0.00000       0.00000
      -8.75445       0.00000       0.00000
      -8.75254       0.00000       0.00000
      -8.75064       0.00000       0.00000
      -8.74873       0.00000       0.00000
      -8.74683       0.00000       0.00000
      -8.74492       0.00000       0.00000
      -8.74302       0.00000       0.00000
      -8.74111       0.00000       0.00000
      -8.73921       0.00000       0.00000
      -8.73730       0.00000       0.00000
      -8.73540       0.00000       0.00000
      -8.73349       0.00000       0.00000
      -8.73159       0.00000       0.00000
      -8.72968       0.00000       0.00000
      -8.72778       0.00000       0.00000
      -8.72588       0.00000       0.00000
      -8.72397       0.00000       0.00000
      -8.72207       0.00000       0.00000
      -8.72016       0.00000       0.00000
      -8.71826       0.00000       0.00000
      -8.71635       0.00000       0.00000
      -8.71445       0.00000       0.00000
      -8.71254       0.00000       0.00000
      -8.71064       0.00000       0.00000
      -8.70873       0.00000       0.00000
      -8.70683       0.00000       0.00000
      -8.70492       0.00000       0.00000
      -8.70302       0.00000       0.00000
      -8.70111       0.00000       0.00000
      -8.69921       0.00000       0.00000
      -8.69730       0.00000       0.00000
      -8.69540       0.00000       0.00000
      -8.69349       0.00000       0.00000
      -8.69159       0.00000       0.00000
      -8.68968       0.00000       0.00000
      -8.68778       0.00000       0.00000
      -8.68587       0.00000       0.00000
      -8.68397       0.00000       0.00000
      -8.68206       0.00000       0.00000
      -8.68016       0.00000       0.00000
      -8.67826       0.00000       0.00000
      -8.67635       0.00000       0.00000
      -8.67445       0.00000       0.00000
      -8.67254       0.00000       0.00000
      -8.67064       0.00000       0.00000
      -8.66873       0.00000       0.00000
      -8.66683       0.00000       0.00000
      -8.66492       0.00000       0.00000
      -8.66302       0.00000       0.00000
      -8.66111       0.00000       0.00000
      -8.65921       0.00000       0.00000
      -8.65730       0.00000       0.00000
      -8.65540       0.00000       0.00000
      -8.65349       0.00000       0.00000
      -8.65159       0.00000       0.00000
      -8.64968       0.00000       0.00000
      -8.64778       0.00000       0.00000
      -8.64587       0.00000       0.00000
      -8.64397       0.00000       0.00000
      -8.64206       0.00000       0.00000
      -8.64016       0.00000       0.00000
      -8.63825       0.00000       0.00000
      -8.63635       0.00000       0.00000
      -8.63444       0.00000       0.00000
      -8.63254       0.00000       0.00000
      -8.63064       0.00000       0.00000
      -8.62873       0.00000       0.00000
      -8.62683       0.00000       0.00000
      -8.62492       0.00000       0.00000
      -8.62302       0.00000       0.00000
      -8.62111       0.00000       0.00000
      -8.61921       0.00000       0.00000
      -8.61730       0.00000       0.00000
      -8.61540       0.00000       0.00000
      -8.61349       0.00000       0.00000
      -8.61159       0.00000       0.00000
      -8.60968       0.00000       0.00000
      -8.60778       0.00000       0.00000
      -8.60587       0.00000       0.00000
      -8.60397       0.00000       0.00000
      -8.60206       0.00000       0.00000
      -8.60016       0.00000       0.00000
      -8.59825       0.00000       0.00000
      -8.59635       0.00000       0.00000
      -8.59444       0.00000       0.00000
      -8.59254       0.00000       0.00000
      -8.59063       0.00000       0.00000
      -8.58873       0.00000       0.00000
      -8.58682       0.00000       0.00000
      -8.58492       0.00000       0.00000
      -8.58302       0.00000       0.00000
      -8.58111       0.00000       0.00000
      -8.57921       0.00000       0.00000
      -8.57730       0.00000       0.00000
      -8.57540       0.00000       0.00000
      -8.57349       0.00000       0.00000
      -8.57159       0.00000       0.00000
      -8.56968       0.00000       0.00000
      -8.56778       0.00000       0.00000
      -8.56587       0.00000       0.00000
      -8.56397       0.00000       0.00000
      -8.56206       0.00000       0.00000
      -8.56016       0.00000       0.00000
      -8.55825       0.00000       0.00000
      -8.55635       0.00000       0.00000
      -8.55444       0.00000       0.00000
      -8.55254       0.00000       0.00000
      -8.55063       0.00000       0.00000
      -8.54873       0.00000       0.00000
      -8.54682       0.00000       0.00000
      -8.54492       0.00000       0.00000
      -8.54301       0.00000       0.00000
      -8.54111       0.00000       0.00000
      -8.53921       0.00000       0.00000
      -8.53730       0.00000       0.00000
      -8.53540       0.00000       0.00000
      -8.53349       0.00000       0.00000
      -8.53159       0.00000       0.00000
      -8.52968       0.00000       0.00000
      -8.52778       0.00000       0.00000
      -8.52587       0.00000       0.00000
      -8.52397       0.00000       0.00000
      -8.52206       0.00000       0.00000
      -8.52016       0.00000       0.00000
      -8.51825       0.00000       0.00000
      -8.51635       0.00000       0.00000
      -8.51444       0.00000       0.00000
      -8.51254       0.00000       0.00000
      -8.51063       0.00000       0.00000
      -8.50873       0.00000       0.00000
      -8.50682       0.00000       0.00000
      -8.50492       0.00000       0.00000
      -8.50301       0.00000       0.00000
      -8.50111       0.00000       0.00000
      -8.49920       0.00000       0.00000
      -8.49730       0.00000       0.00000
      -8.49539       0.00000       0.00000
      -8.49349       0.00000       0.00000
      -8.49159       0.00000       0.00000
      -8.48968       0.00000       0.00000
      -8.48778       0.00000       0.00000
      -8.48587       0.00000       0.00000
      -8.48397       0.00000       0.00000
      -8.48206       0.00000       0.00000
      -8.48016       0.00000       0.00000
      -8.47825       0.00000       0.00000
      -8.47635       0.00000       0.00000
      -8.47444       0.00000       0.00000
      -8.47254       0.00000       0.00000
      -8.47063       0.00000       0.00000
      -8.46873       0.00000       0.00000
      -8.46682       0.00000       0.00000
      -8.46492       0.00000       0.00000
      -8.46301       0.00000       0.00000
      -8.46111       0.00000       0.00000
      -8.45920       0.00000       0.00000
      -8.45730       0.00000       0.00000
      -8.45539       0.00000       0.00000
      -8.45349       0.00000       0.00000
      -8.45158       0.00000       0.00000
      -8.44968       0.00000       0.00000
      -8.44777       0.00000       0.00000
      -8.44587       0.00000       0.00000
      -8.44397       0.00000       0.00000
      -8.44206       0.00000       0.00000
      -8.44016       0.00000       0.00000
      -8.43825       0.00000       0.00000
      -8.43635       0.00000       0.00000
      -8.43444       0.00000       0.00000
      -8.43254       0.00000       0.00000
      -8.43063       0.00000       0.00000
      -8.42873       0.00000       0.00000
      -8.42682       0.00000       0.00000
      -8.42492       0.00000       0.00000
      -8.42301       0.00000       0.00000
      -8.42111       0.00000       0.00000
      -8.41920       0.00000       0.00000
      -8.41730       0.00000       0.00000
      -8.41539       0.00000       0.00000
      -8.41349       0.00000       0.00000
      -8.41158       0.00000       0.00000
      -8.40968       0.00000       0.00000
      -8.40777       0.00000       0.00000
      -8.40587       0.00000       0.00000
      -8.40396       0.00000       0.00000
      -8.40206       0.00000       0.00000
      -8.40015       0.00000       0.00000
      -8.39825       0.00000       0.00000
      -8.39635       0.00000       0.00000
      -8.39444       0.00000       0.00000
      -8.39254       0.00000       0.00000
      -8.39063       0.00000       0.00000
      -8.38873       0.00000       0.00000
      -8.38682       0.00000       0.00000
      -8.38492       0.00000       0.00000
      -8.38301       0.00000       0.00000
      -8.38111       0.00000       0.00000
      -8.37920       0.00000       0.00000
      -8.37730       0.00000       0.00000
      -8.37539       0.00000       0.00000
      -8.37349       0.00000       0.00000
