#       46 eigenvalues      1 kpoints
# Ef:      -0.1271297469
# Format: nk kx ky kz weight, followed by eigenvalues
     1     0.00000     0.00000     0.00000     1.0000000000
     1     -0.6938056171
     2     -0.5222932766
     3     -0.4220481274
     4     -0.3790989781
     5     -0.3129350766
     6     -0.2521297469
     7     -0.0358286198
     8      0.0560003359
     9      0.0738247671
    10      0.0847839751
    11      0.1735910093
    12      0.2186698345
    13      0.2654874635
    14      0.2699351350
    15      0.2715379883
    16      0.3003458012
    17      0.3170301926
    18      0.4268451084
    19      0.4366495755
    20      0.4595832530
    21      0.5781159785
    22      0.6219013099
    23      0.6283221892
    24      0.6875061715
    25      0.7247915252
    26      0.7550810548
    27      0.8538550073
    28      0.8614862644
    29      0.9022167925
    30      1.0182795361
    31      1.0469537742
    32      1.0562234628
    33      1.1151534584
    34      1.1437164407
    35      1.3129049430
    36      1.4263520470
    37      1.5580471111
    38      1.7562638400
    39      1.8031921964
    40      1.9470119301
    41      2.1005491650
    42      2.2698369951
    43      2.5817433070
    44      2.5943764491
    45      3.2448568329
    46      3.6504805954
