# Spin 1
# Original Fermi-level:     -3.45938 eV
# DOS shifted relative to Fermi-level
#  Energy (eV)     DOS (/eV)    Local iDOS
     -13.40216       0.00000       2.00000
     -13.39030       0.00000       2.00000
     -13.37845       0.00000       2.00000
     -13.36660       0.00000       2.00000
     -13.35474       0.00000       2.00000
     -13.34289       0.00000       2.00000
     -13.33103       0.00000       2.00000
     -13.31918       0.00000       2.00000
     -13.30732       0.00000       2.00000
     -13.29547       0.00000       2.00000
     -13.28362       0.00000       2.00000
     -13.27176       0.00000       2.00000
     -13.25991       0.00000       2.00000
     -13.24805       0.00000       2.00000
     -13.23620       0.00000       2.00000
     -13.22435       0.00000       2.00000
     -13.21249       0.00000       2.00000
     -13.20064       0.00000       2.00000
     -13.18878       0.00000       2.00000
     -13.17693       0.00000       2.00000
     -13.16508       0.00000       2.00000
     -13.15322       0.00000       2.00000
     -13.14137       0.00000       2.00000
     -13.12951       0.00000       2.00000
     -13.11766       0.00000       2.00000
     -13.10581       0.00000       2.00000
     -13.09395       0.00000       2.00000
     -13.08210       0.00000       2.00000
     -13.07024       0.00000       2.00000
     -13.05839       0.00000       2.00000
     -13.04654       0.00000       2.00000
     -13.03468       0.00000       2.00000
     -13.02283       0.00000       2.00000
     -13.01097       0.00000       2.00000
     -12.99912       0.00000       2.00000
     -12.98727       0.00000       2.00000
     -12.97541       0.00000       2.00000
     -12.96356       0.00000       2.00000
     -12.95170       0.00000       2.00000
     -12.93985       0.00000       2.00000
     -12.92800       0.00000       2.00000
     -12.91614       0.00000       2.00000
     -12.90429       0.00000       2.00000
     -12.89243       0.00000       2.00000
     -12.88058       0.00000       2.00000
     -12.86872       0.00000       2.00000
     -12.85687       0.00000       2.00000
     -12.84502       0.00000       2.00000
     -12.83316       0.00000       2.00000
     -12.82131       0.00000       2.00000
     -12.80945       0.00000       2.00000
     -12.79760       0.00000       2.00000
     -12.78575       0.00000       2.00000
     -12.77389       0.00000       2.00000
     -12.76204       0.00000       2.00000
     -12.75018       0.00000       2.00000
     -12.73833       0.00000       2.00000
     -12.72648       0.00000       2.00000
     -12.71462       0.00000       2.00000
     -12.70277       0.00000       2.00000
     -12.69091       0.00000       2.00000
     -12.67906       0.00000       2.00000
     -12.66721       0.00000       2.00000
     -12.65535       0.00000       2.00000
     -12.64350       0.00000       2.00000
     -12.63164       0.00000       2.00000
     -12.61979       0.00000       2.00000
     -12.60794       0.00000       2.00000
     -12.59608       0.00000       2.00000
     -12.58423       0.00000       2.00000
     -12.57237       0.00000       2.00000
     -12.56052       0.00000       2.00000
     -12.54867       0.00000       2.00000
     -12.53681       0.00000       2.00000
     -12.52496       0.00000       2.00000
     -12.51310       0.00000       2.00000
     -12.50125       0.00000       2.00000
     -12.48939       0.00000       2.00000
     -12.47754       0.00000       2.00000
     -12.46569       0.00000       2.00000
     -12.45383       0.00000       2.00000
     -12.44198       0.00000       2.00000
     -12.43012       0.00000       2.00000
     -12.41827       0.00000       2.00000
     -12.40642       0.00000       2.00000
     -12.39456       0.00000       2.00000
     -12.38271       0.00000       2.00000
     -12.37085       0.00000       2.00000
     -12.35900       0.00000       2.00000
     -12.34715       0.00000       2.00000
     -12.33529       0.00000       2.00000
     -12.32344       0.00000       2.00000
     -12.31158       0.00000       2.00000
     -12.29973       0.00000       2.00000
     -12.28788       0.00000       2.00000
     -12.27602       0.00000       2.00000
     -12.26417       0.00000       2.00000
     -12.25231       0.00000       2.00000
     -12.24046       0.00000       2.00000
     -12.22861       0.00000       2.00000
     -12.21675       0.00000       2.00000
     -12.20490       0.00000       2.00000
     -12.19304       0.00000       2.00000
     -12.18119       0.00000       2.00000
     -12.16934       0.00000       2.00000
     -12.15748       0.00000       2.00000
     -12.14563       0.00000       2.00000
     -12.13377       0.00000       2.00000
     -12.12192       0.00000       2.00000
     -12.11007       0.00000       2.00000
     -12.09821       0.00000       2.00000
     -12.08636       0.00000       2.00000
     -12.07450       0.00000       2.00000
     -12.06265       0.00000       2.00000
     -12.05079       0.00000       2.00000
     -12.03894       0.00000       2.00000
     -12.02709       0.00000       2.00000
     -12.01523       0.00000       2.00000
     -12.00338       0.00000       2.00000
     -11.99152       0.00000       2.00000
     -11.97967       0.00000       2.00000
     -11.96782       0.00000       2.00000
     -11.95596       0.00000       2.00000
     -11.94411       0.00000       2.00000
     -11.93225       0.00000       2.00000
     -11.92040       0.00000       2.00000
     -11.90855       0.00000       2.00000
     -11.89669       0.00000       2.00000
     -11.88484       0.00000       2.00000
     -11.87298       0.00000       2.00000
     -11.86113       0.00000       2.00000
     -11.84928       0.00000       2.00000
     -11.83742       0.00000       2.00000
     -11.82557       0.00000       2.00000
     -11.81371       0.00000       2.00000
     -11.80186       0.00000       2.00000
     -11.79001       0.00000       2.00000
     -11.77815       0.00000       2.00000
     -11.76630       0.00000       2.00000
     -11.75444       0.00000       2.00000
     -11.74259       0.00000       2.00000
     -11.73074       0.00000       2.00000
     -11.71888       0.00000       2.00000
     -11.70703       0.00000       2.00000
     -11.69517       0.00000       2.00000
     -11.68332       0.00000       2.00000
     -11.67146       0.00000       2.00000
     -11.65961       0.00000       2.00000
     -11.64776       0.00000       2.00000
     -11.63590       0.00000       2.00000
     -11.62405       0.00000       2.00000
     -11.61219       0.00000       2.00000
     -11.60034       0.00000       2.00000
     -11.58849       0.00000       2.00000
     -11.57663       0.00000       2.00000
     -11.56478       0.00000       2.00000
     -11.55292       0.00000       2.00000
     -11.54107       0.00000       2.00000
     -11.52922       0.00000       2.00000
     -11.51736       0.00000       2.00000
     -11.50551       0.00000       2.00000
     -11.49365       0.00000       2.00000
     -11.48180       0.00000       2.00000
     -11.46995       0.00000       2.00000
     -11.45809       0.00000       2.00000
     -11.44624       0.00000       2.00000
     -11.43438       0.00000       2.00000
     -11.42253       0.00000       2.00000
     -11.41068       0.00000       2.00000
     -11.39882       0.00000       2.00000
     -11.38697       0.00000       2.00000
     -11.37511       0.00000       2.00000
     -11.36326       0.00000       2.00000
     -11.35141       0.00000       2.00000
     -11.33955       0.00000       2.00000
     -11.32770       0.00000       2.00000
     -11.31584       0.00000       2.00000
     -11.30399       0.00000       2.00000
     -11.29213       0.00000       2.00000
     -11.28028       0.00000       2.00000
     -11.26843       0.00000       2.00000
     -11.25657       0.00000       2.00000
     -11.24472       0.00000       2.00000
     -11.23286       0.00000       2.00000
     -11.22101       0.00000       2.00000
     -11.20916       0.00000       2.00000
     -11.19730       0.00000       2.00000
     -11.18545       0.00000       2.00000
     -11.17359       0.00000       2.00000
     -11.16174       0.00000       2.00000
     -11.14989       0.00000       2.00000
     -11.13803       0.00000       2.00000
     -11.12618       0.00000       2.00000
     -11.11432       0.00000       2.00000
     -11.10247       0.00000       2.00000
     -11.09062       0.00000       2.00000
     -11.07876       0.00000       2.00000
     -11.06691       0.00000       2.00000
     -11.05505       0.00000       2.00000
     -11.04320       0.00000       2.00000
     -11.03135       0.00000       2.00000
     -11.01949       0.00000       2.00000
     -11.00764       0.00000       2.00000
     -10.99578       0.00000       2.00000
     -10.98393       0.00000       2.00000
     -10.97208       0.00000       2.00000
     -10.96022       0.00000       2.00000
     -10.94837       0.00000       2.00000
     -10.93651       0.00000       2.00000
     -10.92466       0.00000       2.00000
     -10.91281       0.00000       2.00000
     -10.90095       0.00001       2.00000
     -10.88910       0.00011       2.00000
     -10.87724       0.00086       2.00001
     -10.86539       0.00575       2.00008
     -10.85353       0.03163       2.00045
     -10.84168       0.14394       2.00216
     -10.82983       0.54187       2.00858
     -10.81797       1.68734       2.02859
     -10.80612       4.34601       2.08010
     -10.79426       9.25897       2.18986
     -10.78241      16.31616       2.38327
     -10.77056      23.78241       2.66519
     -10.75870      28.67323       3.00509
     -10.74685      28.59437       3.34404
     -10.73499      23.58670       3.62364
     -10.72314      16.09300       3.81441
     -10.71129       9.08217       3.92207
     -10.69943       4.23960       3.97233
     -10.68758       1.63698       3.99173
     -10.67572       0.52281       3.99793
     -10.66387       0.13811       3.99957
     -10.65202       0.03018       3.99992
     -10.64016       0.00545       3.99999
     -10.62831       0.00082       4.00000
     -10.61645       0.00010       4.00000
     -10.60460       0.00001       4.00000
     -10.59275       0.00000       4.00000
     -10.58089       0.00000       4.00000
     -10.56904       0.00000       4.00000
     -10.55718       0.00000       4.00000
     -10.54533       0.00000       4.00000
     -10.53348       0.00000       4.00000
     -10.52162       0.00000       4.00000
     -10.50977       0.00000       4.00000
     -10.49791       0.00000       4.00000
     -10.48606       0.00000       4.00000
     -10.47420       0.00000       4.00000
     -10.46235       0.00000       4.00000
     -10.45050       0.00000       4.00000
     -10.43864       0.00000       4.00000
     -10.42679       0.00000       4.00000
     -10.41493       0.00000       4.00000
     -10.40308       0.00000       4.00000
     -10.39123       0.00000       4.00000
     -10.37937       0.00000       4.00000
     -10.36752       0.00000       4.00000
     -10.35566       0.00000       4.00000
     -10.34381       0.00000       4.00000
     -10.33196       0.00000       4.00000
     -10.32010       0.00000       4.00000
     -10.30825       0.00000       4.00000
     -10.29639       0.00000       4.00000
     -10.28454       0.00000       4.00000
     -10.27269       0.00000       4.00000
     -10.26083       0.00000       4.00000
