# Spin 1
# Original Fermi-level:     -3.91787 eV
# DOS shifted relative to Fermi-level
#  Energy (eV)     DOS (/eV)    Local iDOS
      -9.95501       0.00000       2.00000
      -9.95284       0.00000       2.00000
      -9.95066       0.00000       2.00000
      -9.94848       0.00000       2.00000
      -9.94631       0.00000       2.00000
      -9.94413       0.00000       2.00000
      -9.94195       0.00000       2.00000
      -9.93978       0.00000       2.00000
      -9.93760       0.00000       2.00000
      -9.93542       0.00000       2.00000
      -9.93324       0.00000       2.00000
      -9.93107       0.00000       2.00000
      -9.92889       0.00000       2.00000
      -9.92671       0.00000       2.00000
      -9.92454       0.00000       2.00000
      -9.92236       0.00000       2.00000
      -9.92018       0.00000       2.00000
      -9.91801       0.00000       2.00000
      -9.91583       0.00000       2.00000
      -9.91365       0.00000       2.00000
      -9.91148       0.00000       2.00000
      -9.90930       0.00000       2.00000
      -9.90712       0.00000       2.00000
      -9.90494       0.00000       2.00000
      -9.90277       0.00000       2.00000
      -9.90059       0.00000       2.00000
      -9.89841       0.00000       2.00000
      -9.89624       0.00000       2.00000
      -9.89406       0.00000       2.00000
      -9.89188       0.00000       2.00000
      -9.88971       0.00000       2.00000
      -9.88753       0.00000       2.00000
      -9.88535       0.00000       2.00000
      -9.88318       0.00000       2.00000
      -9.88100       0.00000       2.00000
      -9.87882       0.00000       2.00000
      -9.87664       0.00000       2.00000
      -9.87447       0.00000       2.00000
      -9.87229       0.00000       2.00000
      -9.87011       0.00000       2.00000
      -9.86794       0.00000       2.00000
      -9.86576       0.00000       2.00000
      -9.86358       0.00000       2.00000
      -9.86141       0.00000       2.00000
      -9.85923       0.00000       2.00000
      -9.85705       0.00000       2.00000
      -9.85488       0.00000       2.00000
      -9.85270       0.00000       2.00000
      -9.85052       0.00000       2.00000
      -9.84834       0.00000       2.00000
      -9.84617       0.00000       2.00000
      -9.84399       0.00000       2.00000
      -9.84181       0.00000       2.00000
      -9.83964       0.00000       2.00000
      -9.83746       0.00000       2.00000
      -9.83528       0.00000       2.00000
      -9.83311       0.00000       2.00000
      -9.83093       0.00000       2.00000
      -9.82875       0.00000       2.00000
      -9.82658       0.00000       2.00000
      -9.82440       0.00000       2.00000
      -9.82222       0.00000       2.00000
      -9.82004       0.00000       2.00000
      -9.81787       0.00000       2.00000
      -9.81569       0.00000       2.00000
      -9.81351       0.00000       2.00000
      -9.81134       0.00000       2.00000
      -9.80916       0.00000       2.00000
      -9.80698       0.00000       2.00000
      -9.80481       0.00000       2.00000
      -9.80263       0.00000       2.00000
      -9.80045       0.00000       2.00000
      -9.79828       0.00000       2.00000
      -9.79610       0.00000       2.00000
      -9.79392       0.00000       2.00000
      -9.79175       0.00000       2.00000
      -9.78957       0.00000       2.00000
      -9.78739       0.00000       2.00000
      -9.78521       0.00000       2.00000
      -9.78304       0.00000       2.00000
      -9.78086       0.00000       2.00000
      -9.77868       0.00000       2.00000
      -9.77651       0.00000       2.00000
      -9.77433       0.00000       2.00000
      -9.77215       0.00000       2.00000
      -9.76998       0.00000       2.00000
      -9.76780       0.00000       2.00000
      -9.76562       0.00000       2.00000
      -9.76345       0.00000       2.00000
      -9.76127       0.00000       2.00000
      -9.75909       0.00000       2.00000
      -9.75691       0.00000       2.00000
      -9.75474       0.00000       2.00000
      -9.75256       0.00000       2.00000
      -9.75038       0.00000       2.00000
      -9.74821       0.00000       2.00000
      -9.74603       0.00000       2.00000
      -9.74385       0.00000       2.00000
      -9.74168       0.00000       2.00000
      -9.73950       0.00000       2.00000
      -9.73732       0.00000       2.00000
      -9.73515       0.00000       2.00000
      -9.73297       0.00000       2.00000
      -9.73079       0.00000       2.00000
      -9.72861       0.00000       2.00000
      -9.72644       0.00000       2.00000
      -9.72426       0.00000       2.00000
      -9.72208       0.00000       2.00000
      -9.71991       0.00000       2.00000
      -9.71773       0.00000       2.00000
      -9.71555       0.00000       2.00000
      -9.71338       0.00000       2.00000
      -9.71120       0.00000       2.00000
      -9.70902       0.00000       2.00000
      -9.70685       0.00000       2.00000
      -9.70467       0.00000       2.00000
      -9.70249       0.00000       2.00000
      -9.70031       0.00000       2.00000
      -9.69814       0.00000       2.00000
      -9.69596       0.00000       2.00000
      -9.69378       0.00000       2.00000
      -9.69161       0.00000       2.00000
      -9.68943       0.00000       2.00000
      -9.68725       0.00000       2.00000
      -9.68508       0.00000       2.00000
      -9.68290       0.00000       2.00000
      -9.68072       0.00000       2.00000
      -9.67855       0.00000       2.00000
      -9.67637       0.00000       2.00000
      -9.67419       0.00000       2.00000
      -9.67202       0.00000       2.00000
      -9.66984       0.00000       2.00000
      -9.66766       0.00000       2.00000
      -9.66548       0.00000       2.00000
      -9.66331       0.00000       2.00000
      -9.66113       0.00000       2.00000
      -9.65895       0.00000       2.00000
      -9.65678       0.00000       2.00000
      -9.65460       0.00000       2.00000
      -9.65242       0.00000       2.00000
      -9.65025       0.00000       2.00000
      -9.64807       0.00000       2.00000
      -9.64589       0.00000       2.00000
      -9.64372       0.00000       2.00000
      -9.64154       0.00000       2.00000
      -9.63936       0.00000       2.00000
      -9.63718       0.00000       2.00000
      -9.63501       0.00000       2.00000
      -9.63283       0.00000       2.00000
      -9.63065       0.00000       2.00000
      -9.62848       0.00000       2.00000
      -9.62630       0.00000       2.00000
      -9.62412       0.00000       2.00000
      -9.62195       0.00000       2.00000
      -9.61977       0.00000       2.00000
      -9.61759       0.00000       2.00000
      -9.61542       0.00000       2.00000
      -9.61324       0.00000       2.00000
      -9.61106       0.00000       2.00000
      -9.60888       0.00000       2.00000
      -9.60671       0.00000       2.00000
      -9.60453       0.00000       2.00000
      -9.60235       0.00000       2.00000
      -9.60018       0.00000       2.00000
      -9.59800       0.00000       2.00000
      -9.59582       0.00000       2.00000
      -9.59365       0.00000       2.00000
      -9.59147       0.00000       2.00000
      -9.58929       0.00000       2.00000
      -9.58712       0.00000       2.00000
      -9.58494       0.00000       2.00000
      -9.58276       0.00000       2.00000
      -9.58058       0.00000       2.00000
      -9.57841       0.00000       2.00000
      -9.57623       0.00000       2.00000
      -9.57405       0.00000       2.00000
      -9.57188       0.00000       2.00000
      -9.56970       0.00000       2.00000
      -9.56752       0.00000       2.00000
      -9.56535       0.00000       2.00000
      -9.56317       0.00000       2.00000
      -9.56099       0.00000       2.00000
      -9.55882       0.00000       2.00000
      -9.55664       0.00000       2.00000
      -9.55446       0.00000       2.00000
      -9.55228       0.00000       2.00000
      -9.55011       0.00000       2.00000
      -9.54793       0.00000       2.00000
      -9.54575       0.00000       2.00000
      -9.54358       0.00000       2.00000
      -9.54140       0.00000       2.00000
      -9.53922       0.00000       2.00000
