# Spin 1
# Original Fermi-level:     -4.86309 eV
# DOS shifted relative to Fermi-level
#  Energy (eV)     DOS (/eV)    Local iDOS
     -16.41636       0.00000       0.00000
     -16.41350       0.00000       0.00000
     -16.41065       0.00000       0.00000
     -16.40780       0.00000       0.00000
     -16.40494       0.00000       0.00000
     -16.40209       0.00000       0.00000
     -16.39924       0.00000       0.00000
     -16.39638       0.00000       0.00000
     -16.39353       0.00000       0.00000
     -16.39068       0.00000       0.00000
     -16.38782       0.00000       0.00000
     -16.38497       0.00000       0.00000
     -16.38212       0.00000       0.00000
     -16.37926       0.00000       0.00000
     -16.37641       0.00000       0.00000
     -16.37356       0.00000       0.00000
     -16.37070       0.00000       0.00000
     -16.36785       0.00000       0.00000
     -16.36500       0.00000       0.00000
     -16.36214       0.00000       0.00000
     -16.35929       0.00000       0.00000
     -16.35644       0.00000       0.00000
     -16.35358       0.00000       0.00000
     -16.35073       0.00000       0.00000
     -16.34788       0.00000       0.00000
     -16.34502       0.00000       0.00000
     -16.34217       0.00000       0.00000
     -16.33932       0.00000       0.00000
     -16.33646       0.00000       0.00000
     -16.33361       0.00000       0.00000
     -16.33076       0.00000       0.00000
     -16.32790       0.00000       0.00000
     -16.32505       0.00000       0.00000
     -16.32220       0.00000       0.00000
     -16.31934       0.00000       0.00000
     -16.31649       0.00000       0.00000
     -16.31364       0.00000       0.00000
     -16.31078       0.00000       0.00000
     -16.30793       0.00000       0.00000
     -16.30508       0.00000       0.00000
     -16.30222       0.00000       0.00000
     -16.29937       0.00000       0.00000
     -16.29652       0.00000       0.00000
     -16.29366       0.00000       0.00000
     -16.29081       0.00000       0.00000
     -16.28796       0.00000       0.00000
     -16.28510       0.00000       0.00000
     -16.28225       0.00000       0.00000
     -16.27940       0.00000       0.00000
     -16.27654       0.00000       0.00000
     -16.27369       0.00000       0.00000
     -16.27084       0.00000       0.00000
     -16.26798       0.00000       0.00000
     -16.26513       0.00000       0.00000
     -16.26228       0.00000       0.00000
     -16.25942       0.00000       0.00000
     -16.25657       0.00000       0.00000
     -16.25372       0.00000       0.00000
     -16.25086       0.00000       0.00000
     -16.24801       0.00000       0.00000
     -16.24516       0.00000       0.00000
     -16.24230       0.00000       0.00000
     -16.23945       0.00000       0.00000
     -16.23660       0.00000       0.00000
     -16.23374       0.00000       0.00000
     -16.23089       0.00000       0.00000
     -16.22804       0.00000       0.00000
