   17.007541     0.000000     0.000000
    0.000000    11.338360     0.000000
    0.000000     0.000000    17.007541 
13
  0.679676     0.500000     0.601445     2 T T T
  0.679676     0.500000     0.445889     2 T T T
  0.544960     0.500000     0.368111     2 T T T
  0.410245     0.500000     0.445889     2 T T T
  0.410245     0.500000     0.601445     2 T T T
  0.544960     0.500000     0.679222     2 T T T
  0.277455     0.500000     0.369222     3 T T T
  0.305456     0.500000     0.661945     1 T T T
  0.544960     0.500000     0.800222     1 T T T
  0.784465     0.500000     0.661945     1 T T T
  0.784465     0.500000     0.385389     1 T T T
  0.544960     0.500000     0.247111     1 T T T
  0.271881     0.371129     0.308728     1 T T T
